name,fixture,minutes,opponent_team,round,total_points,value,was_home,GW
Matt_Targett_309,6,0,17,1,0,45,FALSE,1
Maximillian_Aarons_274,1,90,10,1,0,45,FALSE,1
Max_Kilman_408,5,0,9,1,0,40,FALSE,1
Max_Meyer_136,4,90,8,1,2,55,TRUE,1
Maya_Yoshida_310,3,0,5,1,0,45,FALSE,1
Mesut_Özil_15,10,0,13,1,0,75,FALSE,1
Michael_Keane_143,4,90,7,1,8,55,FALSE,1
Michael_McGovern_281,1,0,10,1,0,40,FALSE,1
Michael_Obafemi_314,3,24,5,1,1,50,FALSE,1
Michael_Verrips_521,2,0,3,1,0,45,FALSE,1
Michail_Antonio_389,8,45,11,1,1,70,TRUE,1
Michy_Batshuayi_461,9,0,12,1,0,70,FALSE,1
Miguel_Almirón_266,10,90,1,1,1,60,TRUE,1
Mohamed_Elneny_20,10,0,13,1,0,45,FALSE,1
Mohamed_Elyounoussi_322,3,0,5,1,0,55,FALSE,1
Mohamed_Salah_191,1,90,14,1,12,125,TRUE,1
Moise_Kean_496,4,21,7,1,1,70,FALSE,1
Morgan_Gibbs-White_416,5,0,9,1,0,50,FALSE,1
Morgan_Schneiderlin_158,4,75,7,1,0,45,FALSE,1
Moritz_Leitner_288,1,32,10,1,0,45,FALSE,1
Moussa_Djenepo_438,3,0,5,1,0,55,FALSE,1
Moussa_Sissoko_349,6,90,2,1,5,50,TRUE,1
Muhamed_Bešić_522,2,0,3,1,0,45,FALSE,1
N'Golo_Kanté_119,9,17,12,1,0,50,FALSE,1
Naby_Keita_196,1,0,14,1,0,60,TRUE,1
Nacho_Monreal_6,10,90,13,1,7,50,FALSE,1
Nampalys_Mendy_179,5,0,20,1,0,45,TRUE,1
Nathaniel_Chalobah_374,7,0,4,1,0,45,TRUE,1
Nathan_Aké_59,2,90,15,1,2,50,TRUE,1
Nathan_Redmond_320,3,90,5,1,2,65,FALSE,1
Neal_Maupay_502,7,26,18,1,6,60,FALSE,1
Neil_Taylor_24,6,90,17,1,1,45,FALSE,1
Nemanja_Matic_247,9,0,6,1,0,50,TRUE,1
Nick_Pope_93,3,90,16,1,8,45,TRUE,1
Nicolas_Pépé_488,10,19,13,1,1,95,FALSE,1
Nicolás_Otamendi_208,8,0,19,1,0,55,FALSE,1
Oleksandr_Zinchenko_206,8,90,19,1,6,55,FALSE,1
Oliver_McBurnie_501,2,27,3,1,1,60,FALSE,1
Oliver_Norwood_302,2,90,3,1,2,50,FALSE,1
Oliver_Skipp_352,6,1,2,1,1,45,TRUE,1
Olivier_Giroud_110,9,24,12,1,1,70,FALSE,1
Onel_Hernández_284,1,20,10,1,1,55,FALSE,1
Oriol_Romeu Vidal_328,3,90,5,1,2,45,FALSE,1
Pablo_Fornals_399,8,45,11,1,1,65,TRUE,1
Pablo_Zabaleta_379,8,0,11,1,0,45,TRUE,1
Pascal_Groß_49,7,90,18,1,6,65,FALSE,1
Patrick_Cutrone_487,5,14,9,1,1,60,FALSE,1
Patrick_Roberts_435,1,0,10,1,0,55,FALSE,1
Patrick_van Aanholt_123,4,90,8,1,6,55,TRUE,1
Paulo_Gazzaniga_341,6,0,2,1,0,45,TRUE,1
Paul_Dummett_255,10,90,1,1,2,45,TRUE,1
Paul_Pogba_238,9,90,6,1,9,85,TRUE,1
Pedro_Lomba Neto_528,5,0,9,1,0,50,FALSE,1
Pedro_Obiang_400,8,0,11,1,0,45,TRUE,1
Pedro_Rodríguez Ledesma_114,9,90,12,1,2,70,FALSE,1
Philip_Billing_476,2,90,15,1,2,50,TRUE,1
Philip_Heise_484,1,0,10,1,0,40,FALSE,1
Phil_Bardsley_86,3,0,16,1,0,45,TRUE,1
Phil_Foden_220,8,10,19,1,1,55,FALSE,1
Phil_Jagielka_444,2,0,3,1,0,45,FALSE,1
Phil_Jones_231,9,0,6,1,0,50,TRUE,1
Pierre-Emerick_Aubameyang_11,10,90,13,1,6,110,FALSE,1
Pierre-Emile_Højbjerg_325,3,17,5,1,1,50,FALSE,1
Pontus_Dahlberg_367,7,0,4,1,0,45,TRUE,1
Rachid_Ghezzal_173,5,0,20,1,0,55,TRUE,1
Rafael_Camacho_201,1,0,14,1,0,45,TRUE,1
Raheem_Sterling_214,8,90,19,1,20,120,FALSE,1
Ralf_Fahrmann_449,1,0,10,1,0,45,FALSE,1
Ravel_Morrison_456,2,0,3,1,0,50,FALSE,1
Raúl_Jiménez_409,5,90,9,1,2,75,FALSE,1
Reece_James_506,9,0,12,1,0,50,FALSE,1
Reiss_Nelson_489,10,70,13,1,2,55,FALSE,1
Rhian_Brewster_464,1,0,14,1,0,45,TRUE,1
Ricardo Domingos_Barbosa Pereira_159,5,90,20,1,9,60,TRUE,1
Richard_Stearman_296,2,0,3,1,0,40,FALSE,1
Richarlison_de Andrade_150,4,90,7,1,3,80,FALSE,1
Riyad_Mahrez_217,8,90,19,1,14,85,FALSE,1
